V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q1,Q1_TEXT,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_9,Q3_10,Q3_11,Q3_12,Q3_13,Q3_14,Q4_1_TEXT,Q4_2_TEXT,Q4_3_TEXT,Q5_1,Q5_2,Q5_3,Q7,Q8,Q9_1,Q9_2,Q9_3,Q10_1,Q10_2,Q10_3,Q10_4,LocationLatitude,LocationLongitude,LocationAccuracy,
R_a3MLqzN4HWsoUBf,Default Response Set,Anonymous,,,,2,2016-03-29 16:00:58,2016-03-29 16:00:58,1,13,,3,1,3,2,3,1,3,2,1,1,2,1,2,3,Erat bibendum gravida! Proin convallis. Massa nec tempus etiam! Odio.,"Luctus. Natoque montes nullam ultrices mi ullamcorper vulputate mauris, ab. Pellentesque pharetra aenean montes.",Auctor amet dolorem facilisis integer mauris massa eu orci per! Risus luctus venenatis scelerisque vel.,9,7,1,Placerat posuere ridiculus pede porttitor atque fusce urna commodo magnis nibh nullam. Morbi.,1,1,3,2,,,,,42.401901245117,-71.119300842285,-1,
R_dhC5Grq837VH80J,Default Response Set,Anonymous,,,,2,2016-03-29 16:00:59,2016-03-29 16:00:59,1,17,,3,2,2,1,2,1,1,3,1,1,3,1,3,3,"Bibendum? Imperdiet eleifend, facilisis vel nulla vel elit ultrices tellus mauris id mauris proin porta.","Id donec, erat ut nunc montes porttitor per sagittis? Primis curabitur! Platea posuere metus.",Felis proin maecenas blandit velit cras bibendum fringilla rhoncus! Mauris nec vehicula felis.,5,3,5,"Dui etiam per, at ligula. Integer dignissim ab. Ridiculus gravida est dui convallis et.",1,1,2,3,,,,,42.401901245117,-71.119300842285,-1,
R_0J93ambPOku7mZv,Default Response Set,Anonymous,,,,2,2016-03-29 16:00:59,2016-03-29 16:00:59,1,8,,2,3,1,1,3,2,3,3,3,3,1,1,3,1,Cras aenean massa! Interdum tincidunt et. Ante suscipit posuere. Sollicitudin nullam ridiculus.,Venenatis lacus nonummy iaculis. Lorem? Purus. Accumsan. Auctor aliquet fermentum? Dapibus.,"Fringilla per temporibus! Dolor primis tempus accusamus, risus? Scelerisque tempora venenatis facilisi ab, ullamcorper iaculis.",4,6,2,Vivamus pede laoreet placerat. Nunc. Dictumst faucibus non porta nibh sagittis nulla facilisis.,1,2,3,1,,,,,42.401901245117,-71.119300842285,-1,
R_d9XoPxymvFqwjEF,Default Response Set,Anonymous,,,,2,2016-03-29 16:00:59,2016-03-29 16:00:59,1,17,,1,3,2,1,1,1,1,3,3,1,3,2,3,1,"Dictumst vitae gravida, integer per? Lorem euismod. Turpis wisi euismod atque bibendum suscipit.","Pretium mi, iaculis nibh suspendisse luctus? Ut vel. Sollicitudin accumsan atque phasellus.","Vivamus pretium cras! Dui donec dolorem, convallis mi lacus posuere fringilla elit at eleifend duis.",3,1,5,Cursus mi commodo mi nibh! Odio auctor. Tempor mi accusamus aliquam.,1,3,1,2,,,,,42.401901245117,-71.119300842285,-1,
R_d5sy5qsrkFu9vZH,Default Response Set,Anonymous,,,,2,2016-03-29 16:00:59,2016-03-29 16:00:59,1,17,,3,3,3,2,3,3,2,3,3,1,3,1,1,2,Primis? Eget ultricies tempor dapibus? Scelerisque pretium ultricies ligula atque euismod? Neque interdum. Enim consectetuer.,Accumsan vestibulum etiam sed egestas aliquam magnis magnis id justo.,"Pretium. Vestibulum facilisis! Bibendum! Consectetuer tempus vel morbi primis. Phasellus elit, per volutpat lacus.",6,4,4,Nonummy sagittis leo ac natoque. Lacus dolorem lectus pede scelerisque dolor.,1,3,1,2,,,,,42.401901245117,-71.119300842285,-1,
R_dahMS9QgIArQHSl,Default Response Set,Anonymous,,,,2,2016-03-29 16:00:59,2016-03-29 16:00:59,1,8,,3,1,1,3,1,3,3,2,2,1,3,3,1,1,Nibh nunc posuere integer molestie! Porta etiam mattis ab tellus.,Sagittis? Suscipit molestie praesent montes diam. Temporibus pede. Placerat! Vitae leo non luctus.,"Aenean morbi arcu. Nonummy orci. Sem et velit tempora, ut, et accumsan.",8,4,8,Urna et purus sagittis vel. Purus mauris morbi auctor purus. Tincidunt wisi cras gravida. Est.,1,2,3,1,,,,,42.401901245117,-71.119300842285,-1,
R_et8iLb3Lj4nN4b3,Default Response Set,Anonymous,,,,2,2016-03-29 16:01:00,2016-03-29 16:01:00,1,7,,1,3,2,3,1,2,3,3,2,1,2,1,2,2,"Egestas, vitae at laoreet tellus nonummy purus leo fusce ac ridiculus.",A per scelerisque elementum diam molestie. Nunc primis quis ante auctor.,"Aenean tortor suscipit id? Sapien tempora nullam, sagittis at sagittis sit curabitur tempora.",8,8,1,"Cras quis? Pede nonummy dictumst tellus enim montes sit? Eu, atque.",1,2,1,3,,,,,42.401901245117,-71.119300842285,-1,
R_d4EM89c0d8VLtzv,Default Response Set,Anonymous,,,,2,2016-03-29 16:01:00,2016-03-29 16:01:00,1,1,,3,1,3,3,1,2,2,1,3,2,3,1,2,1,Gravida eget? Aliquam tellus euismod dignissim imperdiet lectus! Atque vulputate.,Non ab! Ut auctor venenatis. Arcu enim metus augue porttitor nulla commodo eleifend.,Eros tellus at ab sagittis accumsan montes! Nunc eget etiam magnis.,4,3,9,"Ipsum. Suscipit tortor, curabitur euismod. Curabitur. Vel faucibus cursus platea donec curabitur pellentesque.",1,2,3,1,,,,,42.401901245117,-71.119300842285,-1,
R_enCCOymZrv2Z13f,Default Response Set,Anonymous,,,,2,2016-03-29 16:01:00,2016-03-29 16:01:00,1,5,,3,3,3,1,2,3,1,2,3,1,2,2,2,3,Wisi montes. Tempor? Ab vehicula suscipit pellentesque potenti risus donec.,Ipsum neque tortor morbi lectus praesent praesent suscipit neque atque scelerisque risus ultrices purus fusce.,Nulla sagittis. Placerat rhoncus vitae consectetuer vulputate? Tempus orci convallis tempus suscipit fusce lectus malesuada.,4,4,10,"Magnis dignissim vehicula laoreet porttitor maecenas primis interdum diam, facilisi.",1,2,3,1,,,,,42.401901245117,-71.119300842285,-1,
R_ers6RpzK96sBp3L,Default Response Set,Anonymous,,,,2,2016-03-29 16:01:00,2016-03-29 16:01:00,1,10,,1,3,1,2,3,2,1,2,2,2,2,1,2,2,Orci eu sapien tellus mattis ultrices eleifend faucibus fermentum eros amet luctus quam nulla.,"Aliquet! Platea blandit eleifend cursus dignissim odio! Eleifend suspendisse enim, facilisi volutpat curabitur et! Luctus.",Nibh amet dapibus amet vehicula massa quis fusce faucibus praesent velit! Per posuere justo interdum.,1,4,1,"Dapibus laoreet, dapibus. Augue turpis? Pellentesque duis amet sollicitudin. Phasellus facilisis nonummy.",1,1,2,3,,,,,42.401901245117,-71.119300842285,-1,
R_4YrFIOfCZdGXGm1,Default Response Set,Anonymous,,,,2,2016-03-29 16:01:00,2016-03-29 16:01:00,1,14,,1,1,1,2,1,3,3,1,2,1,3,1,2,3,"Cursus proin donec dictumst! Suscipit faucibus? In molestie accusamus. Fusce pellentesque, orci neque.","Rutrum risus ac eu arcu aenean montes, vel. Felis. Imperdiet rutrum, egestas scelerisque nibh mi.",Aliquam eu ridiculus nec dictumst! Pretium! Risus at risus rutrum commodo.,7,6,7,"Ipsum sed luctus facilisi tempus tempus wisi justo, eu nibh per fringilla pretium interdum accumsan.",1,1,3,2,,,,,42.401901245117,-71.119300842285,-1,
R_doNa0oJmrUFrVJz,Default Response Set,Anonymous,,,,2,2016-03-29 16:01:01,2016-03-29 16:01:01,1,14,,2,2,1,3,2,2,3,3,3,2,3,3,1,3,"Dolor in sapien! Donec vulputate quis euismod, enim cursus enim lorem viverra dui.",Eleifend pretium mi. Eu. Mauris arcu etiam neque luctus porta sit.,Dolorem egestas? Leo tempus. Euismod dapibus ullamcorper phasellus tempor placerat? Duis convallis. Rutrum arcu consequat.,9,2,10,"Curabitur ridiculus pede nonummy interdum metus aliquet? Ultrices fusce, nonummy primis.",1,1,3,2,,,,,42.401901245117,-71.119300842285,-1,
R_0xEy19za1KtEl49,Default Response Set,Anonymous,,,,2,2016-03-29 16:01:17,2016-03-29 16:01:17,1,3,,1,,,2,2,2,1,2,2,,,,,,,"Integer cras platea elementum natoque pretium enim sapien, tortor platea dolorem vivamus. Dolor.","Pede eu, ligula diam donec scelerisque donec commodo eros nonummy. Elit. Proin, purus dictumst.",7,,,"Laoreet imperdiet vel commodo, orci interdum luctus suscipit quam ultricies platea et.",1,1,3,2,,,,,42.401901245117,-71.119300842285,-1,
R_5jNa16d9iiSe5Q9,Default Response Set,Anonymous,,,,2,2016-03-29 16:01:17,2016-03-29 16:01:17,1,4,,,,2,1,,,,2,2,3,1,3,,2,"Potenti proin gravida fermentum, pellentesque morbi natoque felis. Sagittis tincidunt. Morbi tempus dolorem! Dictumst ultricies.",,,2,,2,"Curabitur molestie euismod. Quis molestie id faucibus pharetra nonummy faucibus, dolor posuere ut vivamus sagittis.",1,3,1,2,,,,,42.401901245117,-71.119300842285,-1,
R_0dCIl6toRyiZwYB,Default Response Set,Anonymous,,,,2,2016-03-29 16:01:18,2016-03-29 16:01:18,1,17,,2,,2,1,,,,,1,,,,,1,"Cursus. Lorem diam diam ac orci turpis, tempora scelerisque placerat orci tortor quis culpa.",,Eros elementum sagittis rutrum ullamcorper nonummy dui morbi magnis blandit dignissim.,8,3,4,Aenean dolorem montes lectus commodo a eu auctor. Volutpat vel tortor dictumst fusce euismod.,1,1,3,2,,,,,42.401901245117,-71.119300842285,-1,
R_cPglfDu9eS331Jz,Default Response Set,Anonymous,,,,2,2016-03-29 16:01:18,2016-03-29 16:01:18,1,19,,3,,,,1,3,2,,3,,1,,3,,,,Convallis aenean fringilla suscipit amet sodales! Sed ultrices porta orci convallis dignissim a.,7,,6,"Ligula nec? Sem, curabitur in ultricies? Aliquam malesuada tempus mauris natoque.",1,1,3,2,,,,,42.401901245117,-71.119300842285,-1,
R_7OIuCWaiSBPggaF,Default Response Set,Anonymous,,,,2,2016-03-29 16:01:18,2016-03-29 16:01:18,1,6,,1,,,2,2,1,,,2,1,,3,,,"Ab ipsum. Dui? Iaculis. Elementum amet vestibulum, sed gravida molestie potenti posuere temporibus consequat suscipit.",,,3,5,,"Vel risus, convallis? Imperdiet? Felis quis sagittis cras. Amet magnis aliquet dolorem. Aenean.",1,2,1,3,,,,,42.401901245117,-71.119300842285,-1,
R_868Ed1Fe3tCrLoN,Default Response Set,Anonymous,,,,2,2016-03-29 16:01:18,2016-03-29 16:01:18,1,6,,1,1,3,,,,1,,,,,3,,,"Fermentum ab vel fermentum consectetuer. Enim, facilisis vulputate. Felis dolorem euismod primis justo.",,Tempor. At? Ac accumsan mi. Sed mauris. Massa. Tellus morbi sapien commodo! Atque velit vulputate.,7,6,1,"Arcu, augue vel primis non tempor quam. Nibh sapien est.",1,3,1,2,,,,,42.401901245117,-71.119300842285,-1,
R_0MzhTErDzTWKRVP,Default Response Set,Anonymous,,,,2,2016-03-29 16:01:18,2016-03-29 16:01:18,1,11,,,,,,1,,,2,,,,,,3,"Nibh blandit elementum quis leo platea, ullamcorper, pellentesque? Donec magna.",,,,6,,Tellus est! Lorem ac? Consectetuer velit justo atque nec vestibulum eros.,1,2,3,1,,,,,42.401901245117,-71.119300842285,-1,
R_1NdDMdpOWimhXdX,Default Response Set,Anonymous,,,,2,2016-03-29 16:01:18,2016-03-29 16:01:18,1,8,,2,2,,,1,,1,,,1,,,,2,Magnis fermentum ut egestas erat ante velit. Fusce consectetuer luctus primis placerat. Vulputate.,"Facilisi tempor odio, montes sodales proin! Commodo! Curabitur tincidunt convallis placerat.",,2,3,,Enim volutpat euismod nunc. Justo est. Quam elementum ullamcorper nibh dignissim etiam. Lectus porta platea.,1,2,1,3,,,,,42.401901245117,-71.119300842285,-1,
R_ebQLGyq89LNZ8QB,Default Response Set,Anonymous,,,,2,2016-03-29 16:01:19,2016-03-29 16:01:19,1,16,,,,,,1,,2,,,,,,,2,Nulla euismod vivamus nunc urna? Consequat nunc iaculis imperdiet fermentum aliquet ligula.,Ultrices fermentum vestibulum a curabitur ullamcorper magnis quam iaculis dignissim.,,10,,8,Dictumst tortor velit fusce tempora aenean donec cursus. Dapibus. Aliquet donec porttitor auctor! Est! Tellus.,1,1,2,3,,,,,42.401901245117,-71.119300842285,-1,
R_6lHdyO8y45oMZgN,Default Response Set,Anonymous,,,,2,2016-03-29 16:01:19,2016-03-29 16:01:19,1,8,,1,1,1,,,3,1,1,2,2,,,1,3,Purus rhoncus dolorem blandit atque suscipit. Aliquam tincidunt rutrum sed! Scelerisque tempora porta erat volutpat.,Erat velit per! Purus rhoncus ligula montes sagittis elementum fusce.,"Fringilla amet ut! Id! Phasellus vehicula, volutpat. Eget vulputate non accumsan.",4,,,"Tellus ut, eros molestie iaculis vitae nunc integer tincidunt rutrum non auctor.",1,1,3,2,,,,,42.401901245117,-71.119300842285,-1,
R_6zdUNVosYQdmsOV,Default Response Set,Anonymous,,,,2,2016-03-29 16:01:19,2016-03-29 16:01:19,1,18,,2,1,3,2,,3,,1,,,,2,2,1,,Enim. Lorem mauris atque eros lorem. Interdum per vitae convallis eu.,,,6,,Ut. Tortor sollicitudin! Ultrices fermentum vestibulum montes mi urna magna volutpat.,1,3,2,1,,,,,42.401901245117,-71.119300842285,-1,
R_bdAimffBEDrWHOt,Default Response Set,Anonymous,,,,2,2016-03-29 16:01:19,2016-03-29 16:01:19,1,3,,3,1,1,,,,,3,,,,,,3,,"Vivamus accusamus etiam sodales molestie vel diam consequat felis ut donec non, dictumst. Ut tortor.",,5,4,2,"Amet turpis nec tempora, scelerisque nulla bibendum ac egestas vivamus tempor. Aenean dolor vestibulum! Ac.",1,1,2,3,,,,,42.401901245117,-71.119300842285,-1,
R_cHfDMefjGRlPCId,Default Response Set,Anonymous,,,,2,2016-03-29 16:01:19,2016-03-29 16:01:19,1,4,,2,3,,3,1,2,,3,1,,3,2,3,3,,,,9,,8,"Tempus? Luctus primis praesent ab lectus sollicitudin sed ut sodales ante ullamcorper, erat.",1,1,3,2,,,,,42.401901245117,-71.119300842285,-1,
R_6xUcHvMojSyxu3r,Default Response Set,Anonymous,,,,2,2016-03-29 16:01:19,2016-03-29 16:01:19,1,18,,2,,2,,,,,3,1,1,,,3,,"Donec, vulputate aenean tempus per auctor natoque, iaculis magnis? Molestie arcu. Neque auctor. Etiam sagittis.",Cursus est. Vehicula imperdiet est sapien etiam pretium! Diam! Mi est.,,8,,,"Sem urna. Dolor atque enim ipsum risus est, velit suscipit nec suscipit natoque.",1,2,3,1,,,,,42.401901245117,-71.119300842285,-1,
R_55UWPCI1WXOWIQJ,Default Response Set,Anonymous,,,,2,2016-03-29 16:01:20,2016-03-29 16:01:20,1,11,,,1,1,,1,,,3,2,1,,,1,,,,,7,,9,"Facilisi atque porttitor sollicitudin! Sollicitudin risus! Facilisi, culpa ab metus felis dictumst! Laoreet primis commodo.",1,2,1,3,,,,,42.401901245117,-71.119300842285,-1,
R_5z3cdkuWhU2Gtk9,Default Response Set,Anonymous,,,,2,2016-03-29 16:01:20,2016-03-29 16:01:20,1,15,,,,,,,3,,,,,3,,3,,,"Porttitor. Platea auctor, sapien. Etiam potenti. Tincidunt, imperdiet duis metus eu pharetra. Nonummy felis mauris.",Proin felis risus sem imperdiet placerat viverra? Potenti cras turpis augue odio consequat placerat.,2,,,Viverra magna ridiculus iaculis scelerisque suspendisse phasellus? Sed laoreet! Per. Quam venenatis? Ipsum magnis.,1,2,3,1,,,,,42.401901245117,-71.119300842285,-1,
R_8AKHPIksREAlWUl,Default Response Set,Anonymous,,,,2,2016-03-29 16:01:20,2016-03-29 16:01:20,1,24,"Fringilla fusce, ac egestas accumsan vivamus eu. Aliquam dolorem. Odio sollicitudin! Scelerisque.",3,2,,1,,3,,,1,,,,3,3,Tincidunt gravida magna justo quis dolorem purus mi dapibus ullamcorper cursus. Massa culpa primis. Pretium.,,,,,1,Tellus. Facilisi pharetra montes massa. Iaculis proin cursus risus primis! Lacus culpa. Elit fringilla! Non.,1,1,3,2,,,,,42.401901245117,-71.119300842285,-1,
R_0wZvCV9vVpdyeAl,Default Response Set,Anonymous,,,,2,2016-03-29 16:01:20,2016-03-29 16:01:20,1,8,,,,1,1,2,,,3,,,,,,2,,Fringilla nulla id. Wisi maecenas viverra convallis ligula nec consectetuer sollicitudin.,,,,,Malesuada rutrum vivamus. Dignissim vestibulum fringilla ut faucibus vestibulum? Elit.,1,3,1,2,,,,,42.401901245117,-71.119300842285,-1,
R_7WZGLEvVzcTJXb7,Default Response Set,Anonymous,,,,2,2016-03-29 16:01:20,2016-03-29 16:01:20,1,8,,,,2,,,3,3,,,,1,,,2,Luctus pellentesque malesuada porta lacus phasellus ut curabitur fusce nulla? Per temporibus vivamus.,"Est ab wisi mattis risus pellentesque felis tincidunt, euismod sed venenatis tempor accusamus.","Justo scelerisque cras ab. Erat erat, ultricies sagittis consequat aliquet duis commodo. Vivamus enim.",6,10,3,"Culpa, culpa ullamcorper. Donec sem luctus integer ab tempor vivamus curabitur justo aliquet ante.",1,3,1,2,,,,,42.401901245117,-71.119300842285,-1,
R_cA7vpbiiQQFnHmd,Default Response Set,Anonymous,,,,2,2016-03-29 16:01:20,2016-03-29 16:01:20,1,14,,,1,,,,,1,,3,,,,,,,"Phasellus vulputate vestibulum fringilla accumsan cras? Wisi pellentesque commodo primis mattis, suscipit quam aliquam.",,5,1,,Volutpat pede nec ridiculus a platea! Faucibus? Vivamus ullamcorper culpa.,1,1,3,2,,,,,42.401901245117,-71.119300842285,-1,
R_e96CFEIZiwnyGyx,Default Response Set,Anonymous,,,,2,2016-03-29 16:38:56,2016-03-29 16:38:56,1,20,,2,2,2,1,1,1,1,3,3,3,2,1,2,3,"Amet eleifend quam praesent vehicula! Sagittis at, scelerisque quis sapien duis velit. Arcu et faucibus.","Eget et eros? Est, dolorem, rhoncus ullamcorper suscipit venenatis, ullamcorper? Vitae ac ridiculus.","Dignissim temporibus nullam montes a auctor, tellus, faucibus auctor vel diam. Cras etiam.",10,4,7,Enim est purus. Porta arcu porttitor! Dignissim! Nunc risus odio.,1,2,1,3,3,1,1,3,42.401901245117,-71.119300842285,-1,
R_0D3nOJkWV6IaC7H,Default Response Set,Anonymous,,,,2,2016-03-29 16:38:56,2016-03-29 16:38:56,1,10,,3,1,2,1,1,1,1,1,3,1,3,3,1,1,Magna urna integer venenatis facilisi donec aliquam. Odio nullam duis. Felis molestie. Blandit.,Fermentum dui? Lorem convallis commodo culpa pretium. Wisi cursus non praesent purus. Tempora faucibus.,Orci! Porta eros? Porttitor dui neque accusamus ut commodo ipsum donec. Eleifend atque.,5,10,1,"Placerat convallis malesuada euismod vel, dapibus est duis potenti. Sit nec tincidunt molestie.",1,3,2,1,2,2,1,2,42.401901245117,-71.119300842285,-1,
R_6RRxh8ftE8ktrSd,Default Response Set,Anonymous,,,,2,2016-03-29 16:38:56,2016-03-29 16:38:57,1,3,,1,3,2,2,3,1,2,3,1,1,1,3,3,2,Felis non nec proin? Ac laoreet nunc. Ridiculus aliquam eleifend volutpat aenean integer pede.,Leo malesuada? Aliquet felis. Fringilla platea vivamus viverra quam. Viverra accusamus vivamus. Per tempora.,"Nullam consectetuer integer nec ultricies sodales mattis iaculis mauris, natoque.",4,9,3,Lectus tellus nonummy aliquet tempora! Dolorem aliquet vehicula amet metus.,1,2,1,3,1,3,1,2,42.401901245117,-71.119300842285,-1,
R_6DPdtD6LQl5xImV,Default Response Set,Anonymous,,,,2,2016-03-29 16:38:57,2016-03-29 16:38:57,1,3,,2,1,3,1,1,3,2,2,3,3,3,3,1,2,Ullamcorper? Viverra euismod temporibus sodales consequat aliquet tincidunt a eleifend molestie.,Consequat massa. Et eleifend? Vivamus. Est wisi? Ultricies lorem erat.,Erat sodales turpis nunc? Blandit! Integer at montes? Porta purus mauris non.,4,6,8,"Volutpat auctor sit consequat elit vel eget, arcu facilisi. Tempora? Molestie metus accusamus? Tempora.",1,3,1,2,2,2,1,2,42.401901245117,-71.119300842285,-1,
